source,target,value
2451,2427,13.0
2453,2427,17.0
2454,2427,12.0
2455,2427,113.0
2456,2427,4.0
2460,2461,15.0
2487,2477,15.0
2501,2517,50.0
2502,1601,159.0
2508,2517,36.0
2509,2517,53.0
2510,2517,62.0
2512,2517,88.0
2514,2517,27.0
2515,2517,2.0
2516,2517,30.0
2518,2517,20.0
2521,1582,271.0
2522,2517,28.0
2523,2517,50.0
2527,0,69.0
2527,568,181.0
2528,1598,9.0
2530,1619,29.0
2539,569,44.0
2543,569,102.0
2545,1619,6.0
2547,571,833.0
2547,761,202.0
2550,569,30.0
2550,758,9.0
2550,1009,95.0
2554,1476,146.0
2554,2149,172.0
2557,761,698.0
2557,1855,373.0
2565,2259,23.0
2568,2259,10.0
2569,2259,26.0
2570,2259,11.0
2591,2820,2.0
2594,3003,15.0
2595,2258,39.0
2599,2258,39.0
2601,3060,78.0
2612,3018,35.0
2613,2258,18.0
2614,2618,53.0
2615,2618,184.0
2616,814,5.0
2617,2769,38.0
2620,2618,27.0
2621,2097,201.0
2622,379,447.0
2623,379,328.0
2638,2682,119.0
2641,2682,24.0
2642,2682,79.0
2643,2682,40.0
2661,2682,293.0
2673,2682,32.0
2683,2682,161.0
2684,2682,62.0
2686,1684,1.0
2687,2682,8.0
2688,2682,397.0
2703,2258,4.0
2704,2258,6.0
2705,2258,45.0
2706,2258,4.0
2708,2258,41.0
2711,2258,57.0
2712,2258,14.0
2713,2258,20.0
2714,2258,33.0
2715,2258,12.0
2716,2258,44.0
2718,2258,19.0
2719,1921,15.0
2720,1921,17.0
2721,1921,5.0
2723,1921,31.0
2724,1921,7.0
2725,1921,14.0
2727,1921,12.0
2728,1921,15.0
2729,2258,5.0
2730,1921,29.0
2731,1921,6.0
2732,1921,9.0
2733,1921,13.0
2747,2769,15.0
2751,1684,29.0
2753,1951,534.0
2759,2769,15.0
2760,2769,10.0
2761,2769,9.0
2762,2769,36.0
2763,2769,9.0
2764,2769,11.0
2765,2769,7.0
2766,2769,43.0
2767,2769,195.0
2768,2769,17.0
2776,2052,151.0
2777,3003,18.0
2787,2820,167.0
2845,2820,4.0
2851,2820,15.0
2859,2769,66.0
2861,2769,7.0
2862,2769,7.0
2863,2769,110.0
2867,2866,431.0
2868,2866,45.0
2868,2869,97.0
2879,377,105.0
2882,1089,82.0
2883,1089,45.0
2884,1086,1113.0
2885,1088,150.0
2886,3050,86.0
2892,761,555.0
2893,981,172.0
2894,0,290.0
2895,1598,19.0
2898,569,101.0
2899,691,17.0
2902,1262,20.0
2903,1333,713.0
2906,1262,12.0
2907,1416,16.0
2911,1263,41.0
2921,2477,61.0
2926,2477,727.0
2966,737,14.0
2967,737,7.0
2968,569,62.0
2969,569,77.0
2980,3092,553.0
2981,3003,30.0
2982,3003,30.0
2983,2995,108.0
2984,3003,29.0
2985,3003,10.0
2986,3003,52.0
2987,3003,9.0
2988,3003,23.0
2989,3003,5.0
2990,1963,455.0
2992,3003,33.0
2996,2682,17.0
2996,3003,46.0
2998,2995,132.0
2999,2995,129.0
3000,3003,36.0
3002,3003,1.0
3004,3003,16.0
3006,3003,6.0
3007,3003,10.0
3008,3003,32.0
3009,3003,11.0
3010,3003,10.0
3011,3003,6.0
3012,3003,15.0
3013,2995,221.0
3014,3018,64.0
3015,3018,83.0
3016,2052,137.0
3019,3018,32.0
3020,2052,110.0
3022,3025,27.0
3023,3025,25.0
3024,3025,13.0
3027,1384,102.0
3028,2517,79.0
3029,2517,32.0
3031,1262,3.0
3032,2477,23.0
3033,2477,20.0
3035,661,9.0
3036,1611,930.0
3037,77,283.0
3038,659,6.0
3044,2769,5.0
3046,2769,7.0
3047,2769,5.0
3048,1093,2.0
3049,582,455.0
3051,1619,20.0
3052,758,142.0
3052,767,52.0
3058,3060,172.0
3061,3060,87.0
3062,3060,186.0
3063,3060,119.0
3064,2258,4.0
3065,3003,24.0
3066,3018,43.0
3067,2052,85.0
3068,2052,137.0
3069,2769,14.0
3069,3003,3.0
3070,1476,61.0
3075,2427,8.0
3085,1093,11.0
3096,3103,251.0
3096,3106,195.0
3097,1656,126.0
3098,1656,180.0
3100,3103,446.0
3105,3060,117.0
3105,3106,108.0
3107,569,66.0
3107,1656,25.0
3107,2149,38.0
3108,2149,244.0
3109,1476,317.0
3110,1608,152.0
3111,1619,14.0
